,AFG,,,ALB,DZA,AGO,,ARG,ARM,,,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BOL,BIH,,BRA,BGR,BFA,BDI,,KHM,CMR,CAN,,CAF,TCD,CHL,CHN,,,,COL,COG,CRI,,HRV,CUB,CYP,CZE,,COD,DNK,DJI,DOM,,ECU,,EGY,SLV,GNQ,EST,ETH,,,,FJI,FIN,,,,,,,,,,,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRL,GLP,GTM,GIN,GNB,GUY,HTI,HND,HUN,ISL,IND,IDN,,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,PRK,KOR,KWT,KGZ,,LAO,LVA,LBN,LBR,LBY,LTU,MDG,MWI,MYS,MLI,MLT,MRT,MUS,MEX,MNG,MAR,MOZ,MMR,NPL,,NLD,,,NZL,NIC,NER,NGA,NOR,,OMN,,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,MDA,ROU,RUS,RWA,WSM,SAU,SEN,SYC,SLE,SGP,SVK,SVN,SOM,ZAF,ESP,LKA,SHN,,,SDN,SUR,SWE,CHE,SYR,,TJK,TZA,MKD,THA,TGO,TTO,TUN,TUR,TKM,UGA,GBR,UKR,ARE,URY,,USA,UZB,VEN,VNM,,YEM,,ZMB,ZWE
GIB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15535,NA,NA,NA,NA,NA,NA,2631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1319,NA,NA,662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35329,NA,NA,NA,173111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2272,NA,142840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3406,NA,NA,NA,382968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1413,409458,NA,NA,NA,NA,NA,NA,NA,30550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRC,314,NA,NA,281431,141606,NA,28199,98948,45089,NA,NA,206449,347466,10347,NA,10662,9785,NA,8685,1111447,1132,NA,660,803,26615,NA,138467,694549,NA,NA,NA,4512,11242,164606,NA,NA,NA,54410,740644,86859,4813,NA,10048,NA,2802,42153,44500,762,578748,181258,NA,NA,373920,1128,993,NA,6488,NA,245728,NA,NA,3366,12288,NA,NA,NA,NA,521355,NA,NA,NA,NA,NA,NA,NA,359,NA,2571360,12685,NA,26467,5313099,4791,NA,NA,NA,NA,424,5273,831,NA,NA,NA,157747,3737,NA,129882,NA,1173390,312685,319509,300004,5074888,2442,1261495,24896,117714,4822,NA,1705,1135382,15838,NA,NA,NA,5326,187195,49901,281984,17608,560,NA,90774,1261,157915,5550,1477,43028,NA,87234,NA,1855,236,NA,1942347,NA,NA,35202,NA,NA,54103,246117,NA,3342,NA,50084,96859,NA,2137,4052,10576,280647,159239,NA,15715,656543,1353041,NA,NA,994135,22977,NA,73684,52500,47470,39234,NA,64638,1328065,4120,NA,41087,NA,22993,NA,659479,483470,71189,214501,NA,5969,529033,158840,NA,708,53416,835723,5821,1850,2034888,163144,73415,6705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,495306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7794,NA,NA,NA,3772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44274,NA,NA,NA,NA,NA,NA,NA,NA,NA,8218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTM,NA,NA,NA,NA,NA,NA,NA,31431,NA,NA,NA,6867,13018,NA,NA,NA,NA,NA,NA,64790,NA,NA,NA,NA,NA,NA,73474,10963,NA,NA,NA,NA,NA,190992,NA,NA,NA,35676,138286,8661,NA,NA,71176,NA,NA,NA,NA,NA,NA,2239,NA,NA,10288,NA,NA,NA,20145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31455,NA,NA,NA,NA,NA,NA,NA,NA,NA,64067,NA,NA,NA,223922,NA,NA,424,NA,NA,NA,NA,NA,NA,NA,NA,836,NA,NA,NA,NA,NA,NA,8316,12188,103929,NA,263341,NA,NA,NA,NA,NA,504061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5206,NA,NA,NA,NA,625386,NA,NA,NA,NA,NA,NA,72265,NA,NA,1769,NA,NA,NA,15365,NA,NA,NA,12349,NA,NA,NA,27113,NA,7630,4396,NA,NA,NA,29288,NA,NA,NA,NA,NA,NA,12851,3601,1070,NA,3003,104195,NA,NA,NA,NA,NA,NA,40558,27659,NA,NA,NA,NA,NA,10622,NA,NA,NA,8325,NA,NA,68751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17613,NA,NA,NA,NA,NA,NA,206286,NA,NA,NA,NA,NA,NA,5513,NA,NA,NA,NA,NA,NA,19005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177260,NA,NA,NA,62046,NA,NA,5273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13052,NA,NA,NA,83859,NA,22925,NA,15263,NA,NA,NA,NA,NA,62039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2491,NA,NA,NA,NA,NA,NA,18945,NA,NA,NA,NA,19401,NA,NA,NA,NA,NA,19279,750,NA,NA,NA,312,NA,NA,NA,NA,NA,709,2970,NA,NA,3610,90163,NA,NA,NA,NA,NA,NA,NA,NA,4451,NA,NA,99338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4108,NA,NA,1481,4022,NA,NA,30427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GNB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15565,NA,NA,NA,7277,NA,NA,831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1235,NA,NA,NA,NA,NA,11571,NA,6196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1361,NA,NA,NA,NA,7220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6631,NA,NA,NA,5214,NA,NA,7567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GUY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2732,NA,NA,NA,NA,NA,NA,NA,25374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136671,NA,NA,NA,544,10486,NA,NA,NA,2140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10815,NA,NA,NA,7196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4697,NA,15873,NA,NA,NA,NA,NA,3087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1628,NA,NA,NA,NA,NA,NA,24694,NA,NA,3757,NA,NA,NA,NA,NA,NA,NA,898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1349,NA,NA,NA,NA,2181,NA,NA,NA,NA,NA,NA,NA,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,722,NA,NA,121729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HTI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29456,NA,NA,NA,12185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7195,NA,24865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7023,NA,NA,NA,NA,NA,NA,16833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10032,NA,NA,NA,NA,NA,NA,NA,3017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HND,NA,NA,NA,NA,NA,NA,NA,7002,NA,NA,NA,2900,8192,NA,NA,NA,NA,NA,NA,70726,NA,NA,NA,NA,NA,NA,28272,NA,NA,NA,NA,NA,NA,51314,NA,NA,NA,NA,57809,3281,NA,NA,36152,NA,NA,NA,NA,NA,NA,3975,NA,NA,6996,NA,NA,NA,3790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6629,NA,NA,NA,NA,NA,NA,NA,NA,NA,45994,NA,NA,NA,121210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19247,5412,38318,NA,217655,NA,NA,NA,NA,NA,161158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,213068,NA,NA,NA,NA,NA,NA,48625,NA,NA,NA,NA,NA,NA,2676,NA,NA,NA,NA,NA,NA,NA,NA,1012,10180,4911,NA,NA,NA,16783,NA,NA,NA,NA,NA,NA,16613,2373,NA,NA,NA,82011,NA,NA,NA,NA,NA,NA,10034,29228,NA,NA,NA,NA,NA,NA,NA,NA,NA,5180,NA,NA,55223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HUN,NA,NA,NA,NA,23597,NA,NA,40197,NA,NA,NA,75638,4225504,4912,NA,604,10489,NA,107055,1752094,NA,377,NA,NA,155757,NA,314471,91658,NA,NA,NA,NA,NA,174007,NA,NA,NA,9640,1029814,123384,NA,NA,11295,NA,3510,5201,219765,500,8092,1152149,NA,NA,247171,NA,1193,NA,4959,NA,30731,NA,NA,33216,3564,NA,NA,NA,NA,499054,NA,NA,NA,NA,NA,NA,NA,NA,NA,3345804,647,NA,NA,17952447,747,NA,157747,NA,NA,836,NA,NA,NA,NA,NA,NA,1882,NA,132914,NA,37969,NA,540013,126679,3984027,NA,2092283,NA,29554,1902,NA,1824,625726,NA,1008,NA,NA,26193,16914,NA,4620,47271,NA,NA,334269,NA,16661,NA,366,256887,NA,17092,NA,NA,NA,NA,1886067,NA,NA,6798,2024,NA,6468,126855,NA,NA,NA,20622,1394,NA,NA,15957,203009,1406364,179983,NA,15912,832517,3107161,NA,NA,27980,NA,NA,NA,716703,834066,465024,NA,101609,1160327,5149,NA,NA,NA,NA,NA,602846,787162,15979,616001,6338,3655,39999,268461,483,NA,38999,320825,4102,NA,2061006,388322,8087,817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ISL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2689,35896,NA,NA,NA,NA,NA,NA,91911,NA,NA,NA,NA,NA,NA,3126,NA,NA,NA,NA,NA,NA,63922,NA,NA,NA,23937,29205,NA,NA,NA,500,NA,NA,NA,NA,NA,NA,5957,NA,NA,370536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48956,NA,NA,NA,NA,NA,NA,NA,NA,NA,189357,NA,NA,NA,610076,NA,NA,3737,NA,NA,NA,NA,NA,NA,NA,NA,1882,NA,NA,1448,NA,NA,NA,37357,8194,62982,NA,622132,NA,NA,NA,NA,NA,34242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,440,NA,398,NA,NA,NA,NA,326619,NA,NA,1589,NA,NA,NA,271786,NA,NA,NA,NA,NA,NA,NA,NA,NA,20400,121290,NA,NA,1284,13500,NA,NA,NA,NA,NA,NA,NA,528,758,NA,6840,125713,NA,NA,NA,NA,NA,NA,189106,60594,NA,NA,NA,NA,NA,18615,NA,NA,NA,7590,NA,NA,644198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IDN,6616,NA,NA,NA,55455,NA,NA,190424,NA,38321,1354,3363793,391662,NA,NA,52420,246078,NA,NA,1246141,1252,27097,3265,NA,NA,NA,524093,40306,4223,587,NA,49872,7187,1239365,NA,2133,268,186303,6411994,2001494,NA,NA,40149,NA,7490,37535,3799,NA,NA,69828,NA,NA,228040,NA,NA,NA,13779,NA,208383,NA,NA,1110,14335,NA,NA,NA,13309,270744,NA,NA,NA,NA,NA,NA,NA,1810,NA,1628089,1996,NA,10127,3551428,23269,NA,129882,NA,NA,NA,13052,1235,NA,NA,NA,132914,1448,NA,16532,NA,258487,112696,166618,40759,1215660,4764,21771841,91261,2554,27721,19698,14759,7358348,889921,NA,NA,1669,NA,47993,3563,14833,729,66505,1919,3384784,8955,2090,NA,NA,553920,NA,35911,8423,82012,NA,27123,1729216,NA,NA,355012,3035,10760,504020,111884,1001,25925,NA,296385,195468,37132,1428,72291,899844,212876,47952,20255,NA,29774,181021,NA,NA,2046128,NA,5644,840,10344505,28161,38065,NA,365994,1362988,183927,NA,8071,NA,41027,NA,306272,305324,73986,4278507,NA,49953,NA,2409473,26105,5773,24945,259428,3179,2775,2323700,122275,936261,27800,32900,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRN,34176,NA,NA,NA,NA,NA,24239703,201144,64604,NA,NA,411848,291631,236333,NA,27576,40856,NA,NA,536541,NA,NA,NA,NA,NA,NA,488021,21818,NA,NA,NA,NA,NA,730479,NA,NA,NA,1406,2375512,50271,NA,NA,710,NA,NA,NA,NA,NA,9331,44119,NA,NA,65045,NA,NA,NA,NA,7794,27385,NA,NA,NA,NA,NA,15996,NA,NA,97313,NA,NA,NA,NA,NA,NA,NA,NA,NA,1685091,NA,NA,20867,1904543,859,NA,1173390,NA,NA,NA,NA,NA,NA,NA,NA,37969,NA,NA,258487,NA,NA,128631,19946,NA,3068905,NA,6016731,8169,319611,4667,NA,NA,3763023,122677,36164,NA,NA,NA,19236,NA,NA,3541,NA,NA,221914,NA,NA,NA,NA,70432,NA,398377,NA,NA,NA,NA,907768,NA,NA,42330,NA,NA,NA,16077,NA,60906,NA,367641,NA,NA,NA,NA,831329,42017,362599,22338,NA,39648,873207,NA,NA,148807,NA,NA,NA,1377751,13759,22385,NA,1980792,1219216,42697,NA,NA,NA,NA,NA,534377,424568,34915,1101876,28625,1758,2494,555124,17985,NA,65400,1038993,100075,NA,468889,162539,1407980,46939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRQ,NA,NA,NA,NA,27043,NA,NA,NA,NA,NA,NA,78380,323068,NA,NA,NA,NA,NA,NA,59414,NA,NA,NA,NA,NA,NA,244739,NA,NA,NA,NA,NA,NA,513110,NA,NA,NA,NA,973213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1716216,NA,NA,NA,152180,NA,NA,312685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112696,NA,128631,NA,NA,NA,1927885,NA,702907,NA,NA,NA,NA,NA,531204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,481769,NA,NA,NA,NA,653961,NA,NA,NA,NA,NA,468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,444448,NA,NA,NA,NA,1240372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,304465,NA,NA,63806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRL,1419,NA,NA,NA,28609,NA,NA,118100,NA,NA,NA,667295,519462,2912,3320,NA,23127,2679,3119,4695738,5148,5527,NA,NA,3997,NA,363889,36963,1525,NA,NA,13760,18002,1118796,NA,NA,NA,63482,1210961,987521,NA,NA,54096,5052,83906,17584,64088,2376,42086,323801,NA,NA,1226739,NA,10168,NA,1187,NA,232899,10597,NA,36141,NA,NA,NA,NA,NA,677585,NA,NA,NA,NA,NA,NA,NA,NA,NA,9085666,7077,NA,2497,13251245,43558,2272,319509,NA,NA,8316,83859,NA,NA,NA,19247,540013,37357,NA,166618,NA,19946,NA,NA,608218,4528452,3321,6164594,18150,14099,24127,NA,NA,2117822,60774,NA,NA,2612,49149,59052,NA,11970,22342,NA,851,1296609,3633,23002,NA,10189,544337,NA,69270,NA,2392,NA,NA,4732477,NA,NA,79574,1814,2249,50101,1378576,NA,20398,NA,46058,8958,NA,21886,15271,479177,373799,355526,12172,NA,94066,213711,NA,NA,272606,23881,NA,4576,2357710,52248,45806,NA,427459,2867686,31161,NA,3522,NA,7659,287,1674391,2328233,8635,1094145,NA,6468,NA,380008,1850,17571,25919,586045,3607,3120,30586350,31374,224904,6014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ISR,NA,NA,NA,NA,NA,NA,NA,166096,10595,NA,NA,390766,217798,NA,410,NA,NA,219,NA,5952496,NA,NA,NA,3708,1967,NA,447459,42558,NA,NA,NA,NA,4801,741445,NA,NA,NA,63640,929406,1734650,NA,NA,105166,NA,14949,9237,12014,NA,186706,106334,NA,NA,229514,9236,NA,NA,14318,NA,672185,NA,NA,3223,19415,NA,NA,NA,NA,328120,NA,NA,NA,NA,NA,NA,NA,NA,NA,2116171,13064,NA,1107,4509293,4816,NA,300004,NA,NA,12188,NA,NA,NA,NA,5412,126679,8194,NA,40759,NA,NA,NA,608218,NA,2690136,NA,2078103,67656,1211474,47530,NA,NA,1067194,NA,NA,NA,NA,17475,NA,NA,NA,7895,NA,NA,NA,NA,18157,NA,5404,359176,NA,8306,NA,NA,NA,NA,2275832,NA,NA,25529,1163,NA,NA,120119,NA,NA,NA,NA,20207,NA,NA,18118,389155,188003,152725,NA,2000,150383,1865056,NA,NA,NA,NA,NA,NA,595743,18430,76574,NA,776063,1209508,67613,NA,NA,NA,NA,NA,564363,2299979,NA,1009791,NA,2953,NA,630935,684,NA,NA,NA,19226,3317,4363041,151974,NA,86437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ITA,1859,NA,NA,508055,5243256,79743,NA,1843680,26700,37512,NA,3197197,10342511,471779,609243,133368,365443,5649,203537,17274479,10105,78850,290293,44973,542410,NA,4650058,1219292,34354,2433,NA,16377,759207,4252215,NA,3944,3093,1281760,9569497,3219800,40708,NA,543569,117078,150567,300800,2034594,267015,393932,2718695,NA,35034,3558703,32237,136076,NA,230166,NA,2437873,41128,8833,138872,164309,NA,NA,4595,1497,3181787,NA,NA,NA,NA,NA,NA,NA,2922,NA,54384549,62150,6252,120397,75389930,396776,142840,5074888,NA,NA,103929,22925,11571,4697,7195,38318,3984027,62982,NA,1215660,NA,3068905,1927885,4528452,2690136,NA,90720,11249605,215314,725254,100252,NA,13511,3711578,726762,5521,NA,NA,177832,639014,89603,6856208,282760,51062,8666,1199932,29653,858671,105730,110645,2752818,21053,1050566,27403,39521,16953,170158,17659596,NA,52945,517478,12568,5246,2073731,1836437,NA,91852,NA,397898,741658,45968,94523,261518,449203,5989005,3840418,179220,108009,4769967,10706947,3640,NA,3264173,145561,43226,NA,2095764,1848180,2970865,4783,3189449,23411625,128133,NA,230208,NA,77153,NA,5863137,14858275,1098480,3101212,18055,46068,387705,1534038,34314,130785,2614564,6354076,129602,34823,27999346,1129814,1719742,249649,31445,NA,NA,NA,NA,NA,NA,NA,NA,NA
JAM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21833,866,NA,NA,NA,NA,NA,NA,27275,NA,NA,NA,NA,NA,NA,147297,NA,NA,NA,NA,NA,NA,202214,NA,NA,NA,4887,75767,2258,NA,NA,23258,NA,NA,NA,NA,NA,NA,NA,NA,NA,26699,NA,NA,NA,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14885,NA,NA,NA,NA,NA,NA,NA,NA,NA,147228,NA,NA,NA,124692,NA,NA,2442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4764,NA,NA,NA,3321,NA,90720,NA,159291,NA,NA,NA,NA,NA,87816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2696,NA,NA,NA,NA,255435,NA,NA,NA,NA,NA,NA,213499,NA,NA,19686,NA,NA,NA,290460,NA,NA,NA,NA,NA,NA,NA,2890,3319,3264,10373,NA,NA,NA,38491,NA,NA,NA,NA,NA,NA,8498,NA,NA,NA,9031,329794,NA,NA,NA,NA,NA,NA,68511,30537,NA,NA,NA,NA,NA,11448,NA,NA,NA,NA,NA,NA,288566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
